15.12.2021,Социально-экономическое развитие Республики Казахстан,(Ноябрь 2021 года том 2)
22.12.2021,Экономика и статистика,(4/2021)
27.12.2021,Мониторинг развития села,(3 квартал 2021 года Часть 2)
31.01.2022,Валовый сбор сельскохозяйственных культур в Республике Казахстан,(2021г.)
31.01.2022,Социально-экономическое развитие Республики Казахстан,(Декабрь 2021 года том 2)
02.02.2022,Социально-экономическое развитие Республики Казахстан,(Декабрь 2021 года том 1)
03.02.2022,Социально-экономическое развитие Республики Казахстан,(Ноябрь 2021 года том 1)
04.02.2022,Регионы Казахстана (ежегодник),(в 2020 году)
16.02.2022,Социально-экономическое развитие Республики Казахстан,(Январь 2022 года том 1)
16.02.2022,Социально-экономическое развитие Республики Казахстан,(Январь 2022 года том 2)
17.02.2022,Мониторинг развития села,(3 квартал 2021 года Часть 1)
17.02.2022,Мониторинг развития села,(4 квартал 2021 года Часть 1)
18.02.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-март 2021 года)
18.02.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-июнь 2021 года)
18.02.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-сентябрь 2021 года)
18.02.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-декабрь 2021 года)
22.02.2022,О жилищном фонде Республики Казахстан,(2021)
28.02.2022,Статистика жилищного фонда,(2021г.)
28.02.2022,Основные показатели жилищного фонда в РК,(2021г.)
15.03.2022,Социально-экономическое развитие Республики Казахстан,(Февраль 2022 года том 1)
15.03.2022,Социально-экономическое развитие Республики Казахстан,(Февраль 2022 года том 2)
18.03.2022,Организации по предоставлению специальных социальных услуг в Республике Казахстан,(2021г.)
18.03.2022,Организации по предоставлению специальных социальных услуг,(2021г.)
18.03.2022,Об использовании информационно-коммуникационных технологий на предприятиях Республики Казахстан,
18.03.2022,Основные показатели научно-исследовательских и опытно-конструкторских работ в Республике Казахстан,(2021г.)
28.03.2022,Лесное хозяйство в Республике Казахстан,(2021г.)
30.03.2022,Санаторно-курортная деятельность в Республике Казахстан,(2021г.)
30.03.2022,О торговых рынках в Республике Казахстан,(2021г.)
30.03.2022,Санаторно-курортная деятельность,(2021г.)
04.04.2022,Мониторинг развития села,(4 квартал 2021 года Часть 2)
06.04.2022,"Численность работников, занятых во вредных и других неблагоприятных условиях труда в Республике Казахстан",(2021г.)
12.04.2022,Об использовании домашними хозяйствами информационно-коммуникационных технологий в Республике Казахстан,
15.04.2022,Социально-экономическое развитие Республики Казахстан,(Март 2022 года том 1)
15.04.2022,Социально-экономическое развитие Республики Казахстан,(Март 2022 года том 2)
18.04.2022,Культура в Республике Казахстан,(2021г.)
21.04.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-март 2022 года)
22.04.2022,О расходах домашних хозяйств на поездки в Республике Казахстан,(2021г.)
24.04.2022,Основные показатели дифференциации доходов населения Республики Казахстан,(2022г.)
29.04.2022,Вспомогательный счет туризма Республики Казахстан,(2020г.)
04.05.2022,Об обращении с коммунальными отходами в Республике Казахстан,(2021г.)
16.05.2022,Экономика и статистика,(1/2022)
18.05.2022,О деятельности железнодорожного транспорта в Республике Казахстан,(2021г.)
18.05.2022,О работе сооружений систем водоснабжения и водоотведения в Республике Казахстан,(2021г.)
18.05.2022,Об инновационной деятельности предприятий в Республике Казахстан,(2021г.)
18.05.2022,Статистические показатели,(2/2022)
18.05.2022,Статистические показатели,(1/2022)
19.05.2022,Мониторинг развития села,(1 квартал 2022 года Часть 1)
20.05.2022,"Основные показатели работы предприятий связи, почтовой и курьерской деятельности в Республике Казахстан",(2021г.)
23.05.2022,Об электронной коммерции в Республике Казахстан,(2021г.)
23.05.2022,Об электронной коммерции в Республике Казахстан,(2021г.)
24.05.2022,Протяженность автомобильных дорог Республики Казахстан,(2021г.)
26.05.2022,"Валовый выпуск продукции (услуг) сельского, лесного и рыбного  хозяйства в Республике Казахстан",(2021г.)
26.05.2022,Национальные счета Республики Казахстан,(2016-2020)
27.05.2022,О продукции и услугах транспорта в Республике Казахстан,(2021г.)
27.05.2022,Наличие построек и сооружений сельскохозяйственного назначения у сельхозяйственных производителей Республики Казахстан,(2021г.)
27.05.2022,Об объемах оказанных услуг  в Республике Казахстан,(январь-март 2022г.)
30.05.2022,Основные показатели по труду в РК,(2021г.)
31.05.2022,Социально-экономическое развитие Республики Казахстан,(Апрель 2022 года том 1)
31.05.2022,Социально-экономическое развитие Республики Казахстан,(Апрель 2022 года том 2)
31.05.2022,Краткий статистический ежегодник (предварительные данные за 2021 год),(Предварительные данные за 2021 год)
03.06.2022,О деятельности сельскохозяйственных кооперативов в Республике Казахстан,(2021г.)
07.06.2022,Стоимость затрат на содержание рабочей силы в Республике Казахстан,(2021г.)
14.06.2022,Движение рабочей силы и использование календарного фонда времени наемными работниками в Республике Казахстан,(2021г.)
15.06.2022,Социально-экономическое развитие Республики Казахстан,(Май 2022 года том 1)
16.06.2022,Численность работников и оплата труда по формам собственности и видам экономической деятельности в Республике Казахстан,(2021г.)
22.06.2022,О финансово-хозяйственной деятельности организаций здравоохранения в Республике Казахстан,(2021г.)
28.06.2022,"О травматизме, связанном с трудовой деятельностью, и профессиональных заболеваниях в Республике Казахстан",(2021г.)
28.06.2022,"О травматизме, связанном с трудовой деятельностью, и профессиональных заболеваниях в Республике Казахстан",(2021г.)
28.06.2022,Цены на потребительском рынке в Республике Казахстан,(2017-2021)
29.06.2022,Основные показатели работы промышленности РК,(2021г.)
29.06.2022,Об объемах оказанных IT-услуг в Республике Казахстан,(2021г.)
29.06.2022,О состоянии охраны атмосферного воздуха в Республике Казахстан,(2021г.)
29.06.2022,"Цены в оптовой, внешней торговле и сфере услуг в Республике Казахстан",(2017-2021)
30.06.2022,Объем реализации товаров и услуг в Республике Казахстан,(2021г.)
30.06.2022,"Объем промышленной продукции (товаров, услуг) по видам экономической деятельности",(2021г.)
30.06.2022,Производство промышленной продукции в натуральном выражении,(2021г.)
30.06.2022,Структура промышленного производства по видам экономической деятельности,(2021г.)
30.06.2022,Социально-экономическое развитие Республики Казахстан,(Май 2022 года том 2)
01.07.2022,"Цены в промышленности, строительстве, и сельском хозяйстве в Республике Казахстан",(2017-2021)
04.07.2022,Об инвестициях в основной капитал,(2021г.)
04.07.2022,Об инвестициях в основной капитал,(2021г.)
05.07.2022,Выпуск продукции на неспециализированных мощностях,(2021г.)
05.07.2022,Выпуск продукции на специализированных мощностях,(2021г.)
12.07.2022,О затратах на охрану окружающей среды в Республике Казахстан,(2021г.)
15.07.2022,Посевные площади сельскохозяйственных культур под урожай в Республике Казахстан,(2022г.)
15.07.2022,Социально-экономическое развитие Республики Казахстан,(Июнь 2022 года том 2)
15.07.2022,Мониторинг развития села,(1 квартал 2022 года Часть 2)
17.07.2022,Об уровне доверия населения к правоохранительным органам,(апрель-май 2022г.)
17.07.2022,Уровень доверия населения к правоохранительным органам,(Апрель-май 2022г.)
17.07.2022,Восприятие собственной безопасности и субъективная оценка уровня преступности,(апрель-май 2022г.)
17.07.2022,Восприятие собственной безопасности в темное время суток,(апрель-май 2022г.)
17.07.2022,Причины низкой степени доверия и недоверия,(апрель-май 2022г.)
17.07.2022,Степень доверия,(апрель-май 2022г.)
17.07.2022,Оценка уровня безопасности,(апрель-май 2022г.)
19.07.2022,Показатели индустриально-инновационного развития Республики Казахстан,(январь-июнь 2022 года)
25.07.2022,Внешнеторговый оборот РК,(2021 год)
25.07.2022,Экспорт и импорт Республики Казахстан по мясу и мясопродуктам,(2021 год)
25.07.2022,Основные показатели взаимной торговли Республики Казахстан со странами ЕАЭС по областям,(январь-декабрь 2021г.)
25.07.2022,Основные показатели внешней торговли Республики Казахстан по странам,(2021 г.)
25.07.2022,Структура экспорта и импорта Республики Казахстан по основным товарным группам,(2021 г.)
25.07.2022,Структура экспорта и импорта Республики Казахстан по основным товарным группам со странами ЕАЭС,(2021 г.)
25.07.2022,"Экспорт и импорт РК со странами ЕАЭС по 4, 6, 10 знакам ТН ВЭД ЕАЭС в разрезе ""страна-товар""",(2021 г.)
25.07.2022,"Экспорт и импорт РК со странами ЕАЭС по 4, 6, 10 знакам ТН ВЭД ЕАЭС в разрезе ""товар-страна""",(2021 г.)
25.07.2022,"Экспорт и импорт товаров РК по 4,6,10 знакам ТН ВЭД ЕАЭС",(2021 г.)
27.07.2022,Занятость в Казахстане,(2017-2021)
31.07.2022,Основные фонды,(2021г.)
31.07.2022,Основные фонды Республики Казахстан,(2021г.)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Акмолинская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Актюбинская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Алматинская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Атырауская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Восточно-Казахстанская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Жамбылская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Западно-Казахстанская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Карагандинская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Костанайская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Кызылординская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Мангистауская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Павлодарская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Северо-Казахстанская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. Туркестанская,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. г. Алматы,(2021 год)
01.08.2022,Экспорт и импорт РК со странами ЕАЭС в разрезе областей. г. Шымкент,(2021 год)
02.08.2022,Социально-экономическое развитие Республики Казахстан,(Июнь 2022 года том 1)
17.08.2022,Административно-территориальные единицы Республики Казахстан,(01.07.2022г.)
19.08.2022,Статистические показатели,(3/2022)
22.08.2022,О финансово-хозяйственной деятельности организаций здравоохранения в Республике Казахстан,(2021г.)
24.08.2022,Мониторинг развития села,(2 квартал 2022 год Часть 1)
24.08.2022,Цены в Казахстане,(1991-2021)
25.08.2022,Оплата труда в Республике Казахстан,(2017-2021)
27.08.2022,Баланс ресурсов и использования основных продуктов сельского хозяйства Республики Казахстан,(2017-2021гг.)
27.08.2022,Демографический ежегодник казахстана,(2017-2021)
29.08.2022,Об объемах оказанных услуг  в Республике Казахстан,(Январь-июнь 2022г.)
31.08.2022,Об объеме оказанных услуг в области здравоохранения и предоставления социальных услуг,(II квартал 2022г.)
06.09.2022,О деятельности мест размещения в Республике Казахстан,(Январь-июнь 2022г.)
06.09.2022,Социально-экономическое развитие Республики Казахстан,(Июль 2022 года том 1)
06.09.2022,Социально-экономическое развитие Республики Казахстан,(Июль 2022 года том 2)
13.09.2022,О выборочном обследовании въездных посетителей,(Июль 2022г.)
